frequency_MHz,psd_dB
2411.4199,-19.38
2411.4297,-19.29
2411.4395,-19.51
2411.4492,-19.73
2411.4590,-19.89
2411.4688,-20.04
2411.4785,-20.20
2411.4883,-20.35
2411.4980,-20.46
2411.5078,-20.58
2411.5176,-20.67
2411.5273,-20.76
2411.5371,-20.74
2411.5469,-20.73
2411.5566,-20.68
2411.5664,-20.64
2411.5762,-20.81
2411.5859,-20.98
2411.5957,-20.89
2411.6055,-20.81
2411.6152,-20.77
2411.6250,-20.74
2411.6348,-20.74
2411.6445,-20.73
2411.6543,-20.72
2411.6641,-20.70
2411.6738,-20.82
2411.6836,-20.93
2411.6934,-21.08
2411.7031,-21.23
2411.7129,-21.28
2411.7227,-21.33
2411.7324,-21.65
2411.7422,-21.97
2411.7520,-22.24
2411.7617,-22.52
2411.7715,-22.81
2411.7812,-23.10
2411.7910,-23.51
2411.8008,-23.91
2411.8105,-24.22
2411.8203,-24.54
2411.8301,-25.09
2411.8398,-25.65
2411.8496,-26.11
2411.8594,-26.58
2411.8691,-27.18
2411.8789,-27.78
2411.8887,-28.55
2411.8984,-29.31
2411.9082,-29.72
2411.9180,-30.12
2411.9277,-30.30
2411.9375,-30.47
2411.9473,-30.76
2411.9570,-31.05
2411.9668,-31.17
2411.9766,-31.29
2411.9863,-31.23
2411.9961,-31.17
2412.0059,-31.04
2412.0156,-30.91
2412.0254,-30.68
2412.0352,-30.44
2412.0449,-30.19
2412.0547,-29.94
2412.0645,-29.84
2412.0742,-29.74
2412.0840,-29.51
2412.0938,-29.28
2412.1035,-28.80
2412.1133,-28.32
2412.1230,-27.95
2412.1328,-27.58
2412.1426,-27.34
2412.1523,-27.10
2412.1621,-26.67
2412.1719,-26.23
2412.1816,-25.96
2412.1914,-25.69
2412.2012,-25.39
2412.2109,-25.08
2412.2207,-24.87
2412.2305,-24.66
2412.2402,-24.40
2412.2500,-24.14
2412.2598,-23.73
2412.2695,-23.32
2412.2793,-23.33
2412.2891,-23.35
