frequency_MHz,psd_dB
936.3750,-58.37
936.3760,-58.52
936.3770,-58.66
936.3779,-58.80
936.3789,-58.94
936.3799,-58.87
936.3809,-58.81
936.3818,-58.65
936.3828,-58.50
936.3838,-58.42
936.3848,-58.33
936.3857,-58.27
936.3867,-58.20
936.3877,-58.26
936.3887,-58.32
936.3896,-58.22
936.3906,-58.11
936.3916,-58.33
936.3926,-58.54
936.3936,-58.69
936.3945,-58.84
936.3955,-58.78
936.3965,-58.72
936.3975,-58.34
936.3984,-57.97
936.3994,-58.16
936.4004,-58.36
936.4014,-58.38
936.4023,-58.40
936.4033,-58.34
936.4043,-58.27
936.4053,-58.14
936.4062,-58.01
936.4072,-58.18
936.4082,-58.35
936.4092,-58.59
936.4102,-58.83
936.4111,-58.82
936.4121,-58.80
936.4131,-58.13
936.4141,-57.45
936.4150,-57.64
936.4160,-57.83
936.4170,-58.18
936.4180,-58.54
936.4189,-58.57
936.4199,-58.61
936.4209,-58.61
936.4219,-58.60
936.4229,-58.68
936.4238,-58.75
936.4248,-58.83
936.4258,-58.90
936.4268,-58.84
936.4277,-58.78
936.4287,-58.66
936.4297,-58.54
936.4307,-58.38
936.4316,-58.23
936.4326,-58.13
936.4336,-58.02
936.4346,-58.22
936.4355,-58.41
936.4365,-58.34
936.4375,-58.27
936.4385,-58.28
936.4395,-58.29
936.4404,-58.55
936.4414,-58.80
936.4424,-58.75
936.4434,-58.71
936.4443,-58.39
936.4453,-58.08
936.4463,-57.88
936.4473,-57.68
936.4482,-58.09
936.4492,-58.50
936.4502,-58.55
936.4512,-58.59
936.4521,-58.60
936.4531,-58.60
936.4541,-58.66
936.4551,-58.72
936.4561,-58.85
936.4570,-58.97
936.4580,-58.95
936.4590,-58.93
936.4600,-58.59
936.4609,-58.25
936.4619,-57.98
936.4629,-57.71
936.4639,-58.07
936.4648,-58.42
936.4658,-58.58
936.4668,-58.75
936.4678,-58.72
936.4688,-58.69
936.4697,-58.64
936.4707,-58.59
936.4717,-58.77
936.4727,-58.96
936.4736,-58.95
936.4746,-58.94
936.4756,-58.76
936.4766,-58.58
936.4775,-58.36
936.4785,-58.13
936.4795,-58.10
936.4805,-58.06
936.4814,-58.26
936.4824,-58.46
936.4834,-58.70
936.4844,-58.94
936.4854,-58.68
936.4863,-58.42
936.4873,-58.50
936.4883,-58.58
936.4893,-58.65
936.4902,-58.71
936.4912,-58.59
936.4922,-58.46
936.4932,-58.16
936.4941,-57.86
936.4951,-58.05
936.4961,-58.25
936.4971,-58.54
936.4980,-58.84
936.4990,-58.88
936.5000,-58.92
936.5010,-58.71
936.5020,-58.50
936.5029,-58.55
936.5039,-58.61
936.5049,-58.69
936.5059,-58.77
936.5068,-58.63
936.5078,-58.49
936.5088,-58.40
936.5098,-58.31
936.5107,-58.44
936.5117,-58.56
936.5127,-58.74
936.5137,-58.91
936.5146,-58.97
936.5156,-59.02
936.5166,-58.89
936.5176,-58.76
936.5186,-58.67
936.5195,-58.58
936.5205,-58.61
936.5215,-58.65
936.5225,-58.58
936.5234,-58.50
936.5244,-58.32
936.5254,-58.13
936.5264,-58.06
936.5273,-57.98
936.5283,-58.12
936.5293,-58.26
936.5303,-58.50
936.5312,-58.73
936.5322,-58.57
936.5332,-58.41
936.5342,-58.30
936.5352,-58.19
936.5361,-58.36
936.5371,-58.54
936.5381,-58.59
936.5391,-58.64
936.5400,-58.60
936.5410,-58.57
936.5420,-58.52
936.5430,-58.47
936.5439,-58.67
936.5449,-58.87
936.5459,-58.94
936.5469,-59.00
936.5479,-58.84
936.5488,-58.67
936.5498,-58.40
936.5508,-58.13
936.5518,-58.32
936.5527,-58.50
936.5537,-58.54
936.5547,-58.58
936.5557,-58.45
936.5566,-58.33
936.5576,-58.45
936.5586,-58.57
936.5596,-58.84
